Sample,X(ms) [09.01.2024 15:03:56 846 UTC],"ExecutePWM_DB.tempAfterScaled"
21192,1704812696166.607821,53.4519653320313
21193,1704812696176.630128,53.4519653320313
21194,1704812696186.604941,53.4519653320313
21195,1704812696196.609861,53.45703125
21196,1704812696206.608750,53.45703125
21197,1704812696216.615563,53.45703125
21198,1704812696226.607043,53.45703125
21199,1704812696236.601181,53.45703125
21200,1704812696246.606857,53.45703125
21201,1704812696256.606710,53.45703125
21202,1704812696266.605763,53.45703125
21203,1704812696276.604763,53.45703125
21204,1704812696286.628435,53.45703125
21205,1704812696296.623541,53.45703125
21206,1704812696306.607950,53.45703125
21207,1704812696316.607741,53.45703125
21208,1704812696326.629657,53.45703125
21209,1704812696336.604848,53.4519653320313
21210,1704812696346.606177,53.4519653320313
21211,1704812696356.607150,53.4519653320313
21212,1704812696366.655337,53.4519653320313
21213,1704812696376.606541,53.4519653320313
21214,1704812696386.607315,53.4519653320313
21215,1704812696396.624710,53.4519653320313
21216,1704812696406.618355,53.4519653320313
21217,1704812696416.604501,53.4519653320313
21218,1704812696426.609043,53.4519653320313
21219,1704812696436.625057,53.4519653320313
21220,1704812696446.608897,53.4519653320313
21221,1704812696456.603728,53.4519653320313
21222,1704812696466.608123,53.4519653320313
21223,1704812696476.629541,53.4519653320313
21224,1704812696486.605497,53.4519653320313
21225,1704812696496.615643,53.4519653320313
21226,1704812696506.610403,53.4519653320313
21227,1704812696516.630763,53.4519653320313
21228,1704812696526.607501,53.4519653320313
21229,1704812696536.615715,53.4519653320313
21230,1704812696546.609270,53.4519653320313
21231,1704812696556.634315,53.4519653320313
21232,1704812696566.605163,53.4519653320313
21233,1704812696576.612248,53.4519653320313
21234,1704812696586.607297,53.4519653320313
21235,1704812696596.624083,53.4519653320313
21236,1704812696606.605537,53.4519653320313
21237,1704812696616.612897,53.4519653320313
21238,1704812696626.608181,53.4519653320313
21239,1704812696636.636777,53.4519653320313
21240,1704812696646.606168,53.4519653320313
21241,1704812696656.606541,53.4519653320313
21242,1704812696666.618123,53.4519653320313
21243,1704812696676.603581,53.4519653320313
21244,1704812696686.602617,53.4519653320313
21245,1704812696696.612035,53.4519653320313
21246,1704812696706.662897,53.4519653320313
21247,1704812696716.604590,53.4519653320313
21248,1704812696726.606883,53.4519653320313
21249,1704812696736.608003,53.4519653320313
21250,1704812696746.607808,53.4519653320313
21251,1704812696756.605243,53.4519653320313
21252,1704812696766.607337,53.4519653320313
21253,1704812696776.606443,53.4519653320313
21254,1704812696786.608657,53.4519653320313
21255,1704812696796.605590,53.4519653320313
21256,1704812696806.606030,53.4519653320313
21257,1704812696816.606310,53.4519653320313
21258,1704812696826.629950,53.4519653320313
21259,1704812696836.603310,53.4519653320313
21260,1704812696846.606595,53.4519653320313
21261,1704812696856.606555,53.4519653320313
21262,1704812696866.627928,53.4519653320313
21263,1704812696876.602310,53.4519653320313
21264,1704812696886.612568,53.4519653320313
21265,1704812696896.605910,53.4519653320313
21266,1704812696906.626661,53.4519653320313
21267,1704812696916.607083,53.4519653320313
21268,1704812696926.609697,53.4519653320313
21269,1704812696936.608181,53.4519653320313
21270,1704812696946.616257,53.4519653320313
21271,1704812696956.645177,53.4519653320313
21272,1704812696966.609848,53.4519653320313
21273,1704812696976.624488,53.4519653320313
21274,1704812696986.620941,53.4519653320313
21275,1704812696996.603008,53.4519653320313
21276,1704812697006.609701,53.4519653320313
21277,1704812697016.625475,53.4519653320313
21278,1704812697026.639701,53.4519653320313
21279,1704812697036.612275,53.4519653320313
21280,1704812697046.631181,53.4519653320313
21281,1704812697056.607310,53.4519653320313
21282,1704812697066.609497,53.4519653320313
21283,1704812697076.603910,53.4519653320313
21284,1704812697086.629168,53.4519653320313
21285,1704812697096.605217,53.4519653320313
21286,1704812697106.607443,53.4519653320313
21287,1704812697116.609035,53.4519653320313
21288,1704812697126.624461,53.4519653320313
21289,1704812697136.599670,53.4519653320313
21290,1704812697146.607070,53.4519653320313
21291,1704812697156.599377,53.4519653320313
21292,1704812697166.630377,53.4519653320313
21293,1704812697176.604755,53.4519653320313
21294,1704812697186.626061,53.4519653320313
21295,1704812697196.606901,53.4519653320313
21296,1704812697206.627803,53.4519653320313
21297,1704812697216.604221,53.4519653320313
21298,1704812697226.608217,53.4519653320313
21299,1704812697236.616581,53.4519653320313
21300,1704812697246.627595,53.4519653320313
21301,1704812697256.610168,53.4519653320313
21302,1704812697266.608648,53.4519653320313
21303,1704812697276.611203,53.4469032287598
21304,1704812697286.605315,53.4469032287598
21305,1704812697296.604883,53.4469032287598
21306,1704812697306.608510,53.4469032287598
21307,1704812697316.610355,53.4469032287598
21308,1704812697326.605337,53.4469032287598
21309,1704812697336.633857,53.4469032287598
21310,1704812697346.626563,53.4469032287598
21311,1704812697356.603248,53.4469032287598
21312,1704812697366.614075,53.4469032287598
21313,1704812697376.608688,53.4469032287598
21314,1704812697386.616261,53.4469032287598
21315,1704812697396.606217,53.4469032287598
21316,1704812697406.606288,53.4469032287598
21317,1704812697416.608790,53.4469032287598
21318,1704812697426.627670,53.4469032287598
21319,1704812697436.603635,53.4469032287598
21320,1704812697446.607243,53.4469032287598
21321,1704812697456.606008,53.4469032287598
21322,1704812697466.626715,53.4469032287598
21323,1704812697476.602550,53.4469032287598
21324,1704812697486.609483,53.4469032287598
21325,1704812697496.607515,53.4469032287598
21326,1704812697506.628723,53.4469032287598
21327,1704812697516.603915,53.4469032287598
21328,1704812697526.608728,53.4469032287598
21329,1704812697536.607990,53.4469032287598
21330,1704812697546.606417,53.4418411254883
21331,1704812697556.605017,53.4418411254883
21332,1704812697566.608910,53.4418411254883
21333,1704812697576.606235,53.4418411254883
21334,1704812697586.609243,53.4418411254883
21335,1704812697596.591275,53.4418411254883
21336,1704812697606.605715,53.4418411254883
21337,1704812697616.607608,53.4418411254883
21338,1704812697626.629155,53.4418411254883
21339,1704812697636.603741,53.4418411254883
21340,1704812697646.619310,53.4418411254883
21341,1704812697656.606755,53.4418411254883
21342,1704812697666.608848,53.4418411254883
21343,1704812697676.601128,53.4418411254883
21344,1704812697686.611355,53.4367752075195
21345,1704812697696.600777,53.4367752075195
21346,1704812697706.604408,53.4367752075195
21347,1704812697716.604715,53.4367752075195
21348,1704812697726.610181,53.4367752075195
21349,1704812697736.627875,53.4367752075195
21350,1704812697746.605515,53.4367752075195
21351,1704812697756.618461,53.4367752075195
21352,1704812697766.627683,53.4367752075195
21353,1704812697776.602270,53.4367752075195
21354,1704812697786.614608,53.4367752075195
21355,1704812697796.605941,53.4367752075195
21356,1704812697806.604568,53.4367752075195
